dep;semaine;pop;P;T;Ti;Tp;Td;cl_age90
32;2020-S22;190040,00;22,00;1103,00;11,58;1,99;580,40;0
33;2020-S20;1633440,00;15,00;2905,00;0,92;0,52;177,85;0
33;2020-S21;1633440,00;22,00;4462,00;1,35;0,49;273,17;0
33;2020-S22;1633440,00;23,00;5087,00;1,41;0,45;311,43;0
34;2020-S20;1176145,00;25,00;4107,00;2,13;0,61;349,19;0
34;2020-S21;1176145,00;58,00;6455,00;4,93;0,90;548,83;0
34;2020-S22;1176145,00;14,00;7743,00;1,19;0,18;658,34;0
35;2020-S20;1082073,00;87,00;1797,00;8,04;4,84;166,07;0
35;2020-S21;1082073,00;24,00;2344,00;2,22;1,02;216,62;0
35;2020-S22;1082073,00;20,00;2501,00;1,85;0,80;231,13;0
36;2020-S20;217139,00;8,00;262,00;3,68;3,05;120,66;0
36;2020-S21;217139,00;3,00;568,00;1,38;0,53;261,58;0
36;2020-S22;217139,00;3,00;451,00;1,38;0,67;207,70;0
37;2020-S20;605380,00;23,00;1688,00;3,80;1,36;278,83;0
37;2020-S21;605380,00;46,00;3019,00;7,60;1,52;498,70;0
37;2020-S22;605380,00;17,00;2692,00;2,81;0,63;444,68;0
38;2020-S20;1264979,00;25,00;2208,00;1,98;1,13;174,55;0
38;2020-S21;1264979,00;32,00;3331,00;2,53;0,96;263,32;0
38;2020-S22;1264979,00;57,00;3488,00;4,51;1,63;275,74;0
39;2020-S20;257849,00;7,00;486,00;2,71;1,44;188,48;0
